company_name,date_of_registration,month_name,state,roc,category,class,company_type,activity_code,activity_description
FRONTIERS SOLUCON PRIVATE LIMITED  ,01/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private,Non-govt company,70100,Real Estate and Renting
MEDIAID MARKETING SERVICES PRIVATE LIMITED ,01/04/21,Apr-21,Orissa,RoC-Cuttack,Company limited by Shares,Private,Non-govt company,90000,"Community, personal & Social Services"
TAIGA READY MIX PRIVATE LIMITED  ,01/04/21,Apr-21,Telangana,RoC-Hyderabad,Company limited by Shares,Private,Non-govt company,26933,"Manufacturing (Metals & Chemicals, and products thereof)"
EARTHIAN GENESIS PRIVATE LIMITED  ,01/04/21,Apr-21,West Bengal,RoC-Kolkata,Company limited by Shares,Private,Non-govt company,74999,Business Services
CARGOWEST PRIVATE LIMITED  ,01/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,63030,"Transport, storage and Communications"
PUROHITA TRADE COMM-DEAL PRIVATE LIMITED  ,01/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,52399,Trading
GSS SECURITECH PRIVATE LIMITED  ,01/04/21,Apr-21,Gujarat,RoC-Ahmedabad,Company limited by Shares,Private,Non-govt company,74999,Business Services
AJL CONSTRUCTION & SERVICES PRIVATE LIMITED ,01/04/21,Apr-21,Bihar,RoC-Patna,Company limited by Shares,Private,Non-govt company,45309,Construction
OSIAN VYAVSAY PRABANDHAN (OPC) PRIVATE LIMITED ,01/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private(One Person Company),Non-govt company,74999,Business Services
TERENCE WELLNESS PRIVATE LIMITED  ,01/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,85100,"Community, personal & Social Services"
BADRI KEDAR MART PRIVATE LIMITED  ,01/04/21,Apr-21,Uttarakhand,RoC-Uttarakhand,Company limited by Shares,Private,Non-govt company,51909,Trading
SIXTY PLUS CLINIC PRIVATE LIMITED  ,01/04/21,Apr-21,West Bengal,RoC-Kolkata,Company limited by Shares,Private,Non-govt company,85100,"Community, personal & Social Services"
DBL VILUPPURAM HIGHWAYS PRIVATE LIMITED  ,01/04/21,Apr-21,Madhya Pradesh,RoC-Gwalior,Company limited by Shares,Private,Non-govt company,45201,Construction
PRACTIX SOLUTION PRIVATE LIMITED  ,01/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private,Non-govt company,72900,Business Services
SATARA RAJDHANI AGRO FARMER PRODUCER COMPANY LIMITED ,01/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private,Non-govt company,1100,Agriculture and Allied Activities
YTP INFRA PRIVATE LIMITED  ,01/04/21,Apr-21,Andhra Pradesh,RoC-Vijayawada,Company limited by Shares,Private,Non-govt company,45203,Construction
SECUREDGE INDUSTRIES PRIVATE LIMITED  ,01/04/21,Apr-21,Tamil Nadu,RoC-Chennai,Company limited by Shares,Private,Non-govt company,29268,Manufacturing (Machinery & Equipments)
RJR TRADING AND EXPORT PRIVATE LIMITED  ,01/04/21,Apr-21,Kerala,RoC-Ernakulam,Company limited by Shares,Private,Non-govt company,51909,Trading
DIKRONG VEGETABLE PRODUCER COMPANY LIMITED ,01/04/21,Apr-21,Assam,RoC-Shillong,Company limited by Shares,Private,Non-govt company,1100,Agriculture and Allied Activities
TOPSHELFS SPIRITS PRIVATE LIMITED  ,01/04/21,Apr-21,Andhra Pradesh,RoC-Vijayawada,Company limited by Shares,Private,Non-govt company,15400,Manufacturing (Food stuffs)
GROWUP ADVISORY PRIVATE LIMITED  ,01/04/21,Apr-21,Telangana,RoC-Hyderabad,Company limited by Shares,Private,Non-govt company,74999,Business Services
EUREKA DIGITISATION & AUTOMATION SERVICES PRIVATE LIMITED ,01/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,72900,Business Services
AXIMO SOLUTIONS PRIVATE LIMITED  ,01/04/21,Apr-21,Kerala,RoC-Ernakulam,Company limited by Shares,Private,Non-govt company,52609,Trading
DIGIPE FOUNDATION  ,01/04/21,Apr-21,Andhra Pradesh,RoC-Vijayawada,Company limited by Shares,Private,Non-govt company,85300,"Community, personal & Social Services"
DEZINER'S KNOT PRODUCT PRIVATE LIMITED  ,01/04/21,Apr-21,Tamil Nadu,RoC-Coimbatore,Company limited by Shares,Private,Non-govt company,18202,Manufacturing (Textiles)
YOUR CARS SERVICES PRIVATE LIMITED  ,01/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,63040,"Transport, storage and Communications"
BKMBG ONLINE PRIVATE LIMITED  ,01/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,72900,Business Services
1N1LY PRIVATE LIMITED,01/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,92410,"Community, personal & Social Services"
EISHAA COMMUNICATIONS SYSTEMS PRIVATE LIMITED ,01/04/21,Apr-21,Tamil Nadu,RoC-Chennai,Company limited by Shares,Private,Non-govt company,72900,Business Services
EDU DREAMS CONSULTANTS SERVICES PRIVATE LIMITED ,01/04/21,Apr-21,Telangana,RoC-Hyderabad,Company limited by Shares,Private,Non-govt company,80902,"Community, personal & Social Services"
KHUSIAGRO FARMER PRODUCER COMPANY LIMITED ,01/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,1100,Agriculture and Allied Activities
LIFE-LONG MATERIAL HANDLING SOLUTIONS PRIVATE LIMITED ,01/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,51909,Trading
TRADEEX EXIM MERCANTILE PRIVATE LIMITED  ,01/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,51909,Trading
LSS CONSULTANCY PRIVATE LIMITED  ,01/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,74140,Business Services
RBD CONSTRUCTIONS AND DEVELOPERS PRIVATE LIMITED ,01/04/21,Apr-21,Kerala,RoC-Ernakulam,Company limited by Shares,Private,Non-govt company,45203,Construction
AFFORDABLE RENTING SOLUTIONS PRIVATE LIMITED ,01/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,71290,Real Estate and Renting
MIMAS AGRI AGRO AQUA PARK INDIA PRIVATE LIMITED ,01/04/21,Apr-21,Andhra Pradesh,RoC-Vijayawada,Company limited by Shares,Private,Non-govt company,1110,Agriculture and Allied Activities
S PURI GARMENTS PRIVATE LIMITED  ,01/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,18209,Manufacturing (Textiles)
IPROPRENEURS REALTY SERVICES (OPC) PRIVATE LIMITED ,01/04/21,Apr-21,Tamil Nadu,RoC-Chennai,Company limited by Shares,Private(One Person Company),Non-govt company,70109,Real Estate and Renting
GURANA AGRO FARMERS PRODUCER COMPANY LIMITED ,01/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,1100,Agriculture and Allied Activities
24X7 VRSERVICES PRIVATE LIMITED,01/04/21,Apr-21,Chandigarh,RoC-Chandigarh,Company limited by Shares,Private,Non-govt company,72900,Business Services
PARK SYSTEMS INDIA PRIVATE LIMITED  ,01/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Subsidiary of Foreign Company,74990,Business Services
PACKSETU (OPC) PRIVATE LIMITED  ,01/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private(One Person Company),Non-govt company,74999,Business Services
MRJ SOLID CEMENT PRIVATE LIMITED  ,01/04/21,Apr-21,Bihar,RoC-Patna,Company limited by Shares,Private,Non-govt company,24299,"Manufacturing (Metals & Chemicals, and products thereof)"
TNM INFRASTRUCTURE PRIVATE LIMITED  ,01/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,45400,Construction
SRINIDHI TRADE OVERSEAS PRIVATE LIMITED  ,01/04/21,Apr-21,Telangana,RoC-Hyderabad,Company limited by Shares,Private,Non-govt company,51909,Trading
GODAVARI RASAYAN PRIVATE LIMITED  ,01/04/21,Apr-21,Gujarat,RoC-Ahmedabad,Company limited by Shares,Private,Non-govt company,23200,"Manufacturing (Metals & Chemicals, and products thereof)"
WORLD BOOKSTORE ONLINE PRIVATE LIMITED  ,01/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,52609,Trading
NUMERO JUNO (OPC) PRIVATE LIMITED  ,01/04/21,Apr-21,Kerala,RoC-Ernakulam,Company limited by Shares,Private(One Person Company),Non-govt company,74999,Business Services
BKISAN FARMERS PRODUCER COMPANY LIMITED  ,01/04/21,Apr-21,Madhya Pradesh,RoC-Gwalior,Company limited by Shares,Private,Non-govt company,1100,Agriculture and Allied Activities
PRAVARA HEALTHCARE PRIVATE LIMITED  ,01/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private,Non-govt company,24299,"Manufacturing (Metals & Chemicals, and products thereof)"
KINGSBEN TRADE PRIVATE LIMITED  ,01/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,16000,Manufacturing (Food stuffs)
SKRAGHAV MOTION PICTURES PRIVATE LIMITED  ,01/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,92419,"Community, personal & Social Services"
GRAVITY FAUCTES PRIVATE LIMITED  ,01/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,28990,"Manufacturing (Metals & Chemicals, and products thereof)"
3D EYRANS PRIVATE LIMITED,01/04/21,Apr-21,Madhya Pradesh,RoC-Gwalior,Company limited by Shares,Private,Non-govt company,29309,Manufacturing (Machinery & Equipments)
HKUMAR INFRASTRUCTURE PRIVATE LIMITED  ,01/04/21,Apr-21,Gujarat,RoC-Ahmedabad,Company limited by Shares,Private,Non-govt company,45203,Construction
AHAM FABRIC AND GARMENTS PRIVATE LIMITED  ,01/04/21,Apr-21,Kerala,RoC-Ernakulam,Company limited by Shares,Private,Non-govt company,52100,Trading
JSKAGRI NIDHI LIMITED  ,01/04/21,Apr-21,Kerala,RoC-Ernakulam,Company limited by Shares,Public,Non-govt company,65990,Finance
ARZYA PRINCIPLE KNOWLEDGE ADVISORY (OPC) PRIVATE LIMITED ,01/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private(One Person Company),Non-govt company,72900,Business Services
NANAKDEV FARMERS PRODUCER COMPANY LIMITED ,01/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,1400,Agriculture and Allied Activities
BIGHI FED FARMER PRODUCER COMPANY LIMITED ,01/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,1400,Agriculture and Allied Activities
VANDEMART.COM PRIVATE LIMITED  ,01/04/21,Apr-21,Telangana,RoC-Hyderabad,Company limited by Shares,Private,Non-govt company,52520,Trading
ABELLIAN FINMAN (OPC) PRIVATE LIMITED  ,01/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private(One Person Company),Non-govt company,74999,Business Services
SPATIKA HR SOLUTIONS PRIVATE LIMITED  ,01/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,74999,Business Services
STELLARIPE ALPHA PRIVATE LIMITED  ,01/04/21,Apr-21,Gujarat,RoC-Ahmedabad,Company limited by Shares,Private,Non-govt company,74140,Business Services
AL BASITH FOOD PRODUCTS PRIVATE LIMITED  ,01/04/21,Apr-21,Kerala,RoC-Ernakulam,Company limited by Shares,Private,Non-govt company,15490,Manufacturing (Food stuffs)
SHVERI INFRA PRIVATE LIMITED  ,01/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private,Non-govt company,45309,Construction
FIRELOOK MARKETING PRIVATE LIMITED  ,01/04/21,Apr-21,Telangana,RoC-Hyderabad,Company limited by Shares,Private,Non-govt company,74999,Business Services
SCHOOLIFY SERVICES PRIVATE LIMITED  ,01/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,72900,Business Services
MEDI-TREE PHARMACEUTICALS PRIVATE LIMITED ,01/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private,Non-govt company,24239,"Manufacturing (Metals & Chemicals, and products thereof)"
WECARE MANAGEMENT ACCOUNTING SERVICES PRIVATE LIMITED ,01/04/21,Apr-21,Tamil Nadu,RoC-Chennai,Company limited by Shares,Private,Non-govt company,74999,Business Services
SAMBHAV STRUCTURES PRIVATE LIMITED  ,01/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,70200,Real Estate and Renting
BIG LEAGUE DIGITAL PRIVATE LIMITED  ,01/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,72900,Business Services
FRUTH FOODS PRIVATE LIMITED  ,01/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,15400,Manufacturing (Food stuffs)
WAYANAD PADDY PRODUCER COMPANY LIMITED  ,01/04/21,Apr-21,Kerala,RoC-Ernakulam,Company limited by Shares,Private,Non-govt company,1110,Agriculture and Allied Activities
FEMINOVA PHARMACEUTICALS PRIVATE LIMITED  ,01/04/21,Apr-21,West Bengal,RoC-Kolkata,Company limited by Shares,Private,Non-govt company,85100,"Community, personal & Social Services"
SMNZONE SERVICES PRIVATE LIMITED  ,01/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,72900,Business Services
CORALIMEX PRIME PRIVATE LIMITED  ,01/04/21,Apr-21,Jharkhand,RoC-Jharkhand,Company limited by Shares,Private,Non-govt company,15540,Manufacturing (Food stuffs)
13M TECHNOSERVE PRIVATE LIMITED,01/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,72900,Business Services
SPRINT STUDIO HUMAN INSIGHTS PRIVATE LIMITED ,01/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,73100,"Community, personal & Social Services"
NJL FLOOR WORKS PRIVATE LIMITED  ,01/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,74999,Business Services
MEVIKA INDIA PRIVATE LIMITED  ,01/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,72900,Business Services
SRI TRINETRA ENGINEERS PRIVATE LIMITED  ,01/04/21,Apr-21,Telangana,RoC-Hyderabad,Company limited by Shares,Private,Non-govt company,74999,Business Services
KHT TECHNOLOGIES PRIVATE LIMITED  ,01/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,63030,"Transport, storage and Communications"
MANSOORI TOUR AND TRAVELS PRIVATE LIMITED ,01/04/21,Apr-21,Uttarakhand,RoC-Uttarakhand,Company limited by Shares,Private,Non-govt company,63030,"Transport, storage and Communications"
TAITON WOMEN EMPOWERMENT PRIVATE LIMITED  ,01/04/21,Apr-21,Telangana,RoC-Hyderabad,Company limited by Shares,Private,Non-govt company,52100,Trading
BIGSTACK IT SERVICES PRIVATE LIMITED  ,01/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,74999,Business Services
BHARATPUR HONEY FED KISAN PRODUCER COMPANY LIMITED ,01/04/21,Apr-21,Rajasthan,RoC-Jaipur,Company limited by Shares,Private,Non-govt company,1110,Agriculture and Allied Activities
KALAKAAR SPACE (OPC) PRIVATE LIMITED  ,01/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private(One Person Company),Non-govt company,92140,"Community, personal & Social Services"
ASIAN SHIKSHA PRASHAR PRIVATE LIMITED  ,01/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,80301,"Community, personal & Social Services"
SAFEGUARD SECURITY FORCE PRIVATE LIMITED  ,01/04/21,Apr-21,Telangana,RoC-Hyderabad,Company limited by Shares,Private,Non-govt company,74999,Business Services
MINAPUR KISAN PRODUCER COMPANY LIMITED  ,01/04/21,Apr-21,Bihar,RoC-Patna,Company limited by Shares,Private,Non-govt company,1100,Agriculture and Allied Activities
SHINING PARIWAR VENTURES PRIVATE LIMITED  ,01/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,15490,Manufacturing (Food stuffs)
BAGSHELLA CONSULTANCY SERVICES PRIVATE LIMITED ,01/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,72900,Business Services
LIVERLEAF TRADING PRIVATE LIMITED  ,01/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,52300,Trading
WIDE WINGS HYGIENE PRIVATE LIMITED  ,01/04/21,Apr-21,Gujarat,RoC-Ahmedabad,Company limited by Shares,Private,Non-govt company,25209,"Manufacturing (Metals & Chemicals, and products thereof)"
DE JURE ASSESSMENT PRIVATE LIMITED  ,01/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,74999,Business Services
SRI MARUTI WIND PARK (UVARI) PRIVATE LIMITED ,01/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private,Non-govt company,40106,"Electricity, Gas & Water companies"
ENDEE ROYAL HERITAGE PRIVATE LIMITED  ,01/04/21,Apr-21,Kerala,RoC-Ernakulam,Company limited by Shares,Private,Non-govt company,55209,Trading
INKED STORIES PRIVATE LIMITED  ,01/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private,Non-govt company,52190,Trading
HR (HANMANLU RAJMANI ) AGRO FARMERS PRODUCER COMPANY LIMITED ,01/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,1100,Agriculture and Allied Activities
CHEMIC ENGINEERS PRIVATE LIMITED  ,01/04/21,Apr-21,Gujarat,RoC-Ahmedabad,Company limited by Shares,Private,Non-govt company,74999,Business Services
STEELWELL PRIVATE LIMITED  ,01/04/21,Apr-21,Gujarat,RoC-Ahmedabad,Company limited by Shares,Private,Non-govt company,27205,"Manufacturing (Metals & Chemicals, and products thereof)"
SRIBAJRANG WIND PARK (JAISALMER) PRIVATE LIMITED ,01/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private,Non-govt company,40109,"Electricity, Gas & Water companies"
AVIRAJ PRECISION SOLUTIONS INDIA PRIVATE LIMITED ,01/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private,Non-govt company,25190,"Manufacturing (Metals & Chemicals, and products thereof)"
AMBICA ENGINEERING EQUIPMENT PRIVATE LIMITED ,01/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,29309,Manufacturing (Machinery & Equipments)
MARCUSMORGAN ELECTRICA PRIVATE LIMITED  ,01/04/21,Apr-21,Tamil Nadu,RoC-Coimbatore,Company limited by Shares,Private,Non-govt company,34300,Manufacturing (Machinery & Equipments)
COUNCIL OF ENVIRO EXCELLENCE  ,01/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,85300,"Community, personal & Social Services"
UTBS ENGINEERING INDUSTRIES PRIVATE LIMITED ,01/04/21,Apr-21,West Bengal,RoC-Kolkata,Company limited by Shares,Private,Non-govt company,26990,"Manufacturing (Metals & Chemicals, and products thereof)"
SARALIYA FARMER PRODUCER COMPANY LIMITED  ,01/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,1400,Agriculture and Allied Activities
CENTRRIC INNOVATIONS PRIVATE LIMITED  ,01/04/21,Apr-21,Kerala,RoC-Ernakulam,Company limited by Shares,Private,Non-govt company,72900,Business Services
SAMSHETTE CONSULTANCY SERVICES (OPC) PRIVATE LIMITED ,01/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private(One Person Company),Non-govt company,72900,Business Services
REDX NETWORKING SOLUTIONS PRIVATE LIMITED ,01/04/21,Apr-21,Andhra Pradesh,RoC-Vijayawada,Company limited by Shares,Private,Non-govt company,64100,"Transport, storage and Communications"
JYOTHIR CHEMICALS PRIVATE LIMITED  ,01/04/21,Apr-21,Kerala,RoC-Ernakulam,Company limited by Shares,Private,Non-govt company,24290,"Manufacturing (Metals & Chemicals, and products thereof)"
TELEMONK TECHNOLOGY SERVICES PRIVATE LIMITED ,09/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,93000,"Community, personal & Social Services"
PROBITY LOGISTICS PRIVATE LIMITED  ,03/04/21,Apr-21,Gujarat,RoC-Ahmedabad,Company limited by Shares,Private,Non-govt company,60300,"Transport, storage and Communications"
PAREA EDUTECH (OPC) PRIVATE LIMITED  ,03/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private(One Person Company),Non-govt company,80902,"Community, personal & Social Services"
TIRUMALA MULTI SERVICES PRIVATE LIMITED  ,03/04/21,Apr-21,Orissa,RoC-Cuttack,Company limited by Shares,Private,Non-govt company,74999,Business Services
INNOVATEKEYS (OPC) PRIVATE LIMITED  ,03/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private(One Person Company),Non-govt company,15209,Manufacturing (Food stuffs)
PHASTAR CRO PRIVATE LIMITED  ,03/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Subsidiary of Foreign Company,74999,Business Services
AAS INFRACOM PRIVATE LIMITED  ,03/04/21,Apr-21,Chandigarh,RoC-Chandigarh,Company limited by Shares,Private,Non-govt company,64200,"Transport, storage and Communications"
STRABELLA PICTURE AND PRODUCTION PRIVATE LIMITED ,03/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,92419,"Community, personal & Social Services"
ELATE FOUNDATION  ,03/04/21,Apr-21,Orissa,RoC-Cuttack,Company limited by Shares,Private,Non-govt company,85300,"Community, personal & Social Services"
SHOGUN LIFESCIENCES PRIVATE LIMITED  ,03/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,24299,"Manufacturing (Metals & Chemicals, and products thereof)"
KURU KRISHAK FED PRODUCER COMPANY LIMITED ,03/04/21,Apr-21,Jharkhand,RoC-Jharkhand,Company limited by Shares,Private,Non-govt company,1100,Agriculture and Allied Activities
MANGALO FOOD CREATIONS AND BEVERAGES PRIVATE LIMITED ,03/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,15549,Manufacturing (Food stuffs)
DUDREAMS HOMES AND DEVELOPMENT PRIVATE LIMITED ,05/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,45309,Construction
REMONEY MARKETING PRIVATE LIMITED  ,05/04/21,Apr-21,Uttarakhand,RoC-Uttarakhand,Company limited by Shares,Private,Non-govt company,52310,Trading
KONNECT DIAGNOSTICS (ATTAPUR) PRIVATE LIMITED ,05/04/21,Apr-21,Telangana,RoC-Hyderabad,Company limited by Shares,Private,Non-govt company,85300,"Community, personal & Social Services"
IITG JOBS.COM PRIVATE LIMITED  ,05/04/21,Apr-21,Madhya Pradesh,RoC-Gwalior,Company limited by Shares,Private,Non-govt company,74999,Business Services
INCRED.AI LIMITED  ,05/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Public,Non-govt company,74999,Business Services
PROVIT PHARMA PRIVATE LIMITED  ,05/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,24290,"Manufacturing (Metals & Chemicals, and products thereof)"
ENQZONE (OPC) PRIVATE LIMITED  ,05/04/21,Apr-21,Assam,RoC-Shillong,Company limited by Shares,Private(One Person Company),Non-govt company,51909,Trading
SURVEYORLITE INDIA PRIVATE LIMITED  ,05/04/21,Apr-21,Kerala,RoC-Ernakulam,Company limited by Shares,Private,Non-govt company,72900,Business Services
INM CONSULTANCY PRIVATE LIMITED  ,05/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,74999,Business Services
PREFURRED MARKITS PRIVATE LIMITED  ,05/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,52590,Trading
ALVITA FOUNDATION  ,05/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,93098,"Community, personal & Social Services"
OPPORTUNITY ADDA CONSULTANCY PRIVATE LIMITED ,05/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,74999,Business Services
GANGOLI COLD STORAGE PRIVATE LIMITED  ,05/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,63090,"Transport, storage and Communications"
CHANAKYA MANDAL EDUCON PRIVATE LIMITED  ,05/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private,Non-govt company,80902,"Community, personal & Social Services"
WORLDVISION ENTERPRISES PRIVATE LIMITED  ,05/04/21,Apr-21,Madhya Pradesh,RoC-Gwalior,Company limited by Shares,Private,Non-govt company,74999,Business Services
AAJEEVAN PRATIDHI FOUNDATION  ,05/04/21,Apr-21,Gujarat,RoC-Ahmedabad,Company Limited by Guarantee,Private,Guarantee and Association comp,85300,"Community, personal & Social Services"
SHRIRASAI DEVI AGRO PRODUCER COMPANY LIMITED ,05/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private,Non-govt company,1100,Agriculture and Allied Activities
KUNJ COKE PRIVATE LIMITED  ,05/04/21,Apr-21,West Bengal,RoC-Kolkata,Company limited by Shares,Private,Non-govt company,23101,"Manufacturing (Metals & Chemicals, and products thereof)"
VRUDDI CASHEW ASSOCIATION  ,05/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Public,Non-govt company,85300,"Community, personal & Social Services"
SAHID MADHO SINGH FARMER PRODUCER COMPANY LIMITED ,05/04/21,Apr-21,Orissa,RoC-Cuttack,Company limited by Shares,Private,Non-govt company,1100,Agriculture and Allied Activities
KIAMA HERBALS PRIVATE LIMITED  ,05/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,24236,"Manufacturing (Metals & Chemicals, and products thereof)"
MARVELLA AGRO FOODS PRIVATE LIMITED  ,05/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,15209,Manufacturing (Food stuffs)
CELL CITY INDIA PRIVATE LIMITED  ,05/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,72900,Business Services
GJRK NIDHI LIMITED  ,05/04/21,Apr-21,Gujarat,RoC-Ahmedabad,Company limited by Shares,Public,Non-govt company,65990,Finance
ZEBA WAREHOUSING PRIVATE LIMITED  ,05/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,63090,"Transport, storage and Communications"
NIKUMB DIGITAL (OPC) PRIVATE LIMITED  ,05/04/21,Apr-21,Rajasthan,RoC-Jaipur,Company limited by Shares,Private(One Person Company),Non-govt company,72900,Business Services
NECTUXX TECHNOLOGIES PRIVATE LIMITED  ,05/04/21,Apr-21,Tamil Nadu,RoC-Coimbatore,Company limited by Shares,Private,Non-govt company,72900,Business Services
BONECARE PHARMACEUTICALS PRIVATE LIMITED  ,05/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private,Non-govt company,51909,Trading
